poiType,poicode,name,month,h3index,h5,district_code,district,count,estimated_visit,country,version,customer,year,date,polygon,POI(s),state,brands
food.nightlife.live_entertainment,POI_1001_356ttncb-1ea2ee10fa2d471a8ebb8f76939dce72,yadav sound & dj service,6,893da11a157ffff,853da11bfffffff,IN.HR.GU,Gurgaon,9,132,IND,3.4,all_ind_3.4_all,2024,2024-06-08 00:01:01,"POLYGON ((77.0147903 28.4607384, 77.0148832 28.4609041, 77.0149505 28.4608749, 77.0148576 28.4607092, 77.0147903 28.4607384))",Live Entertainment-Music,Haryana,
food.nightlife.bar_pub,POI_1001_356jx7ps-b9f2bbbbc4940a4f46491187f311d60a,big shot bar,6,893da11a807ffff,853da11bfffffff,IN.HR.GU,Gurgaon,28,412,IND,3.4,all_ind_3.4_all,2024,2024-06-08 00:01:01,"POLYGON ((77.06762070000001 28.4622724, 77.0678034 28.4621323, 77.06777339999999 28.4621021, 77.0677611 28.4621115, 77.0676603 28.4620099, 77.06767259999999 28.4620005, 77.0676414 28.4619691, 77.0674587 28.4621092, 77.067492 28.4621427, 77.0675055 28.4621323, 77.06760130000001 28.4622289, 77.0675878 28.4622392, 77.06762070000001 28.4622724))",Bar and Pub,Haryana,
food.nightlife.bar_pub,POI_1001_356ttncc-ede014ed0b7b4bceba40427ba3f3efff,drunkart,6,893da11a8bbffff,853da11bfffffff,IN.HR.GU,Gurgaon,36,610,IND,3.4,all_ind_3.4_all,2024,2024-06-05 00:01:01,"POLYGON ((77.0620947 28.4684535, 77.06231029999999 28.4686248, 77.0626666 28.4682784, 77.062451 28.4681071, 77.0620947 28.4684535))",Bar and Pub,Haryana,
food.nightlife.bar_pub,POI_1001_356jx7ps-b9f2bbbbc4940a4f46491187f311d60a,big shot bar,6,893da11a807ffff,853da11bfffffff,IN.HR.GU,Gurgaon,9,152,IND,3.4,all_ind_3.4_all,2024,2024-06-05 00:01:01,"POLYGON ((77.06762070000001 28.4622724, 77.0678034 28.4621323, 77.06777339999999 28.4621021, 77.0677611 28.4621115, 77.0676603 28.4620099, 77.06767259999999 28.4620005, 77.0676414 28.4619691, 77.0674587 28.4621092, 77.067492 28.4621427, 77.0675055 28.4621323, 77.06760130000001 28.4622289, 77.0675878 28.4622392, 77.06762070000001 28.4622724))",Bar and Pub,Haryana,
food.nightlife.nightclub,POI_9999_4911812567564769860,ryu bar,6,893da11a8d3ffff,853da11bfffffff,IN.HR.GU,Gurgaon,27,457,IND,3.4,all_ind_3.4_all,2024,2024-06-05 00:01:01,"POLYGON ((77.0500155 28.4617338, 77.0500229 28.4618503, 77.0502197 28.4618406, 77.05022099999999 28.461783, 77.0501747 28.4617294, 77.0500155 28.4617338))",Nightclub,Haryana,\N
food.nightlife.bar_pub,POI_1001_356ttncd-4ea41efc05eadaf9d13eacdb0db8e48b,athena,6,893da118c67ffff,853da11bfffffff,IN.HR.GU,Gurgaon,54,915,IND,3.4,all_ind_3.4_all,2024,2024-06-05 00:01:01,"POLYGON ((77.09074510000001 28.4212489, 77.0907469 28.4207619, 77.090694 28.4207617, 77.0906943 28.4206806, 77.0903223 28.4206795, 77.090321 28.4210259, 77.090351 28.421026, 77.0903502 28.4212477, 77.09074510000001 28.4212489))",Bar and Pub,Haryana,
food.nightlife.nightclub,POI_1012_G_0x390d165555555553:0x6cc1af7a4db3ca7f,club 18,6,893da11a9b3ffff,853da11bfffffff,IN.HR.GU,Gurgaon,33,599,IND,3.4,all_ind_3.4_all,2024,2024-06-03 00:01:01,"POLYGON ((77.0851004 28.479343, 77.08563169999999 28.4795497, 77.0856534 28.479592, 77.08570400000001 28.4795844, 77.08568289999999 28.4796344, 77.0856849 28.4796744, 77.0857256 28.4797361, 77.0857678 28.479759, 77.0858231 28.4797665, 77.0858873 28.4797483, 77.0859238 28.4797181, 77.0859458 28.4796753, 77.0859459 28.4796237, 77.08591850000001 28.4795744, 77.0858739 28.4795436, 77.0858422 28.4795391, 77.0858843 28.479518, 77.085598 28.478818, 77.0852505 28.4789325, 77.0852107 28.4788349, 77.0849292 28.4789237, 77.0851004 28.479343))",Nightclub,Haryana,
food.nightlife.bar_pub,POI_1001_356ttncc-64151359eb9b6c46a16b8b2e03edec5e,the piano man gurugram,6,893da11a8d3ffff,853da11bfffffff,IN.HR.GU,Gurgaon,40,720,IND,3.4,all_ind_3.4_all,2024,2024-06-02 00:01:01,"POLYGON ((77.04992873096288 28.46167040062814, 77.04983857259079 28.46167941646537, 77.04980966483741 28.46141924668481, 77.04980951441298 28.46141830479079, 77.04980927493438 28.46141738151302, 77.04980894858035 28.46141648525139, 77.04980853832004 28.46141562416004, 77.04980804788595 28.46141480607309, 77.04980748174003 28.46141403843343, 77.04980684503302 28.46141332822499, 77.04980614355762 28.46141268190918, 77.04980538369581 28.46141210536614, 77.04980457236074 28.46141160384121, 77.04980371693388 28.46141118189721, 77.04980282519783 28.46141084337296, 77.04980190526554 28.46141059134833, 77.04980096550645 28.46141042811622, 77.04980001447045 28.46141035516169, 77.04979906080996 28.46141037314849, 77.04964906080994 28.46142037314847, 77.0496480670682 28.46142048956277, 77.04964708993361 28.46142070469745, 77.04964613918803 28.46142101639885, 77.04964522434912 28.4614214215466, 77.04964435457511 28.46142191608487, 77.04964353857308 28.46142249506296, 77.04964278451183 28.46142315268487, 77.04964209994009 28.46142388236731, 77.04964149171091 28.4614246768056, 77.04964096591316 28.46142552804684, 77.04964052781042 28.46142642756945, 77.04964018178846 28.46142736636854, 77.04963993131121 28.46142833504603, 77.04963977888613 28.46142932390473, 77.04963972603912 28.46143032304543, 77.04963977329921 28.46143132246597, 77.04963992019329 28.46143231216141, 77.04964781028937 28.4614717626417, 77.0495784856527 28.4614804282213, 77.04957754308113 28.46148059216484, 77.0495766204902 28.46148084543282, 77.0495757263246 28.46148118570704, 77.04957486876877 28.46148160987289, 77.0495740556721 28.46148211404791, 77.04957329447697 28.46148269361729, 77.0495725921508 28.46148334327613, 77.04957195512206 28.46148405707797, 77.04957138922164 28.46148482848925, 77.04957089962929 28.46148565044911, 77.04957049082637 28.46148651543399, 77.04957016655472 28.46148741552652, 77.04956992978245 28.46148834248799, 77.0495697826768 28.46148928783374, 77.04956972658422 28.46149024291085, 77.04956976201818 28.46149119897733, 77.0496097610182 28.46196119897732, 77.04960988956556 28.46196215771755, 77.0496101101438 28.4619630995522, 77.04961042068894 28.46196401566844, 77.04961081829519 28.46196489749412, 77.04961129924213 28.46196573677792, 77.0496118590295 28.46196652566661, 77.04961249241933 28.46196725677849, 77.04961319348493 28.46196792327251, 77.0496139556664 28.46196851891222, 77.04961477183195 28.46196903812418, 77.04961563434465 28.4619694760501, 77.04961653513391 28.46196982859226, 77.04961746577096 28.4619700924519, 77.0496184175478 28.46197026516006, 77.04961938155857 28.46197034510072, 77.04962034878294 28.46197033152584, 77.04993496285955 28.46195066814606, 77.04996172500003 28.46198635100008, 77.04996234660345 28.46198710076037, 77.04996303819327 28.46198778649706, 77.04996379320954 28.46198840170574, 77.0499646044907 28.46198894055096, 77.0499654643415 28.4619893979216, 77.04996636460596 28.46198976947936, 77.04996729674482 28.46199005169989, 77.04996825191645 28.46199024190625, 77.04996922106073 28.46199033829428, 77.04997019498504 28.46199033994969, 77.04997116445139 28.46199024685679, 77.04997212026409 28.46199005989859, 77.04997305335696 28.46198978084846, 77.04997395487933 28.46198941235325, 77.04997481627997 28.46198895790829, 77.04997562938821 28.4619884218241, 77.04997638649151 28.46198780918562, 77.04997708040847 28.46198712580392, 77.04997770455707 28.46198637816109, 77.04997825301707 28.46198557334874, 77.04997872058617 28.46198471900079, 77.04997910282933 28.46198382322098, 77.04997939612083 28.46198289450607, 77.04997959767873 28.46198194166521, 77.04997970559118 28.4619809737364, 77.04997971883461 28.46197999990073, 77.04997963728337 28.46197902939535, 77.0499396382834 28.46167902939531, 77.04993946569192 28.46167808419555, 77.04993920318455 28.46167715992272, 77.04993885318471 28.46167626510961, 77.04993841892357 28.46167540801704, 77.04993790441021 28.46167459655762, 77.04993731439455 28.46167383822266, 77.04993665432356 28.46167314001303, 77.04993593029096 28.46167250837455, 77.04993514898094 28.46167194913843, 77.04993431760647 28.46167146746748, 77.04993344384273 28.46167106780846, 77.04993253575624 28.46167075385097, 77.04993160173035 28.46167052849344, 77.04993065038788 28.46167039381634, 77.04992969051156 28.46167035106301, 77.04992873096288 28.46167040062814))",Bar and Pub,Haryana,
food.nightlife.nightclub,POI_1012_G_0x390d19226f605019:0x8b254a7722ba5b7e,zygo,6,893da11a997ffff,853da11bfffffff,IN.HR.GU,Gurgaon,130,2340,IND,3.4,all_ind_3.4_all,2024,2024-06-02 00:01:01,"POLYGON ((77.079949 28.4809296, 77.0804483 28.4809352, 77.080459 28.4802067, 77.0799597 28.4802011, 77.079949 28.4809296))",Nightclub,Haryana,
food.nightlife.nightclub,POI_1012_G_0x390d165555555553:0x6cc1af7a4db3ca7f,club 18,6,893da11a9b3ffff,853da11bfffffff,IN.HR.GU,Gurgaon,35,630,IND,3.4,all_ind_3.4_all,2024,2024-06-02 00:01:01,"POLYGON ((77.0851004 28.479343, 77.08563169999999 28.4795497, 77.0856534 28.479592, 77.08570400000001 28.4795844, 77.08568289999999 28.4796344, 77.0856849 28.4796744, 77.0857256 28.4797361, 77.0857678 28.479759, 77.0858231 28.4797665, 77.0858873 28.4797483, 77.0859238 28.4797181, 77.0859458 28.4796753, 77.0859459 28.4796237, 77.08591850000001 28.4795744, 77.0858739 28.4795436, 77.0858422 28.4795391, 77.0858843 28.479518, 77.085598 28.478818, 77.0852505 28.4789325, 77.0852107 28.4788349, 77.0849292 28.4789237, 77.0851004 28.479343))",Nightclub,Haryana,
